"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"335","S01000335",2004,8,121,NA,NA,5079,NA,NA
"336","S01000336",2004,24,273,NA,NA,4719,NA,NA
"337","S01000337",2004,8,112,NA,NA,5148,NA,NA
"338","S01000338",2004,9,162,NA,NA,4594,NA,NA
"339","S01000339",2004,7,63,NA,NA,6223,NA,NA
"340","S01000340",2004,8,76,NA,NA,4796,NA,NA
"341","S01000341",2004,9,121,NA,NA,4622,NA,NA
"342","S01000342",2004,8,148,NA,NA,3734,NA,NA
"343","S01000343",2004,12,179,NA,NA,5201,NA,NA
"344","S01000344",2004,NA,NA,NA,NA,4773,NA,NA
"345","S01000345",2004,16,260,NA,NA,5240,NA,NA
"346","S01000346",2004,32,480,NA,NA,6491,NA,NA
"347","S01000347",2004,7,88,NA,NA,4449,NA,NA
"348","S01000348",2004,10,126,NA,NA,6259,NA,NA
"349","S01000349",2004,22,379,NA,NA,5572,NA,NA
"350","S01000350",2004,17,156,NA,NA,6079,NA,NA
"351","S01000351",2004,47,496,NA,NA,6399,NA,NA
"352","S01000352",2004,5,66,NA,NA,6498,NA,NA
"353","S01000353",2004,10,158,NA,NA,6125,NA,NA
"354","S01000354",2004,16,167,NA,NA,4435,NA,NA
"355","S01000355",2004,0,0,NA,NA,6429,NA,NA
"356","S01000356",2004,NA,NA,NA,NA,5072,NA,NA
"357","S01000357",2004,NA,NA,NA,NA,6452,NA,NA
"358","S01000358",2004,7,71,NA,NA,6461,NA,NA
"359","S01000359",2004,NA,NA,NA,NA,6262,NA,NA
"360","S01000360",2004,8,153,NA,NA,4250,NA,NA
"361","S01000361",2004,NA,NA,NA,NA,4949,NA,NA
"362","S01000362",2004,12,130,NA,NA,5428,NA,NA
"363","S01000363",2004,14,139,NA,NA,5530,NA,NA
"364","S01000364",2004,NA,NA,NA,NA,4309,NA,NA
"365","S01000365",2004,10,116,NA,NA,5083,NA,NA
"366","S01000366",2004,20,188,NA,NA,5326,NA,NA
"367","S01000367",2004,5,61,NA,NA,5826,NA,NA
"368","S01000368",2004,40,488,NA,NA,6052,NA,NA
"369","S01000369",2004,15,165,NA,NA,4861,NA,NA
"370","S01000370",2004,16,147,NA,NA,5570,NA,NA
"371","S01000371",2004,36,397,NA,NA,5444,NA,NA
"372","S01000372",2004,48,499,NA,NA,5169,NA,NA
"373","S01000373",2004,11,175,NA,NA,6482,NA,NA
"374","S01000374",2004,10,138,NA,NA,6001,NA,NA
"375","S01000375",2004,7,113,NA,NA,3768,NA,NA
"376","S01000376",2004,45,533,NA,NA,3822,NA,NA
"377","S01000377",2004,33,475,NA,NA,5254,NA,NA
"378","S01000378",2004,54,952,NA,NA,4685,NA,NA
"379","S01000379",2004,4,63,NA,NA,5322,NA,NA
"380","S01000380",2004,15,173,NA,NA,5656,NA,NA
"381","S01000381",2004,13,112,NA,NA,6093,NA,NA
"382","S01000382",2004,7,85,NA,NA,4772,NA,NA
"383","S01000383",2004,5,69,NA,NA,5298,NA,NA
"384","S01000384",2004,16,221,NA,NA,3644,NA,NA
"385","S01000385",2004,10,171,NA,NA,4433,NA,NA
"386","S01000386",2004,34,394,NA,NA,4684,NA,NA
"387","S01000387",2004,21,253,NA,NA,5548,NA,NA
"388","S01000388",2004,11,112,NA,NA,5046,NA,NA
"389","S01000389",2004,10,127,NA,NA,6380,NA,NA
"390","S01000390",2004,46,587,NA,NA,4410,NA,NA
"391","S01000391",2004,17,281,NA,NA,4551,NA,NA
"392","S01000392",2004,24,303,NA,NA,5356,NA,NA
"393","S01000393",2004,25,310,NA,NA,5917,NA,NA
"394","S01000394",2004,15,242,NA,NA,5138,NA,NA
"395","S01000395",2004,5,62,NA,NA,4870,NA,NA
"396","S01000396",2004,29,317,NA,NA,3459,NA,NA
"397","S01000397",2004,10,103,NA,NA,5686,NA,NA
"398","S01000398",2004,50,523,NA,NA,5518,NA,NA
"399","S01000399",2004,117,1947,NA,NA,5526,NA,NA
"400","S01000400",2004,43,636,NA,NA,4987,NA,NA
"401","S01000401",2004,NA,NA,NA,NA,4849,NA,NA
"402","S01000402",2004,13,187,NA,NA,5556,NA,NA
"403","S01000403",2004,51,698,NA,NA,6235,NA,NA
"404","S01000404",2004,15,216,NA,NA,5981,NA,NA
"405","S01000405",2004,NA,NA,NA,NA,5561,NA,NA
"406","S01000406",2004,19,336,NA,NA,4432,NA,NA
"407","S01000407",2004,14,220,NA,NA,4158,NA,NA
"408","S01000408",2004,NA,NA,NA,NA,5728,NA,NA
"409","S01000409",2004,NA,NA,NA,NA,5808,NA,NA
"410","S01000410",2004,7,101,NA,NA,5453,NA,NA
"411","S01000411",2004,13,211,NA,NA,4937,NA,NA
"412","S01000412",2004,13,162,NA,NA,5052,NA,NA
"413","S01000413",2004,8,104,NA,NA,5667,NA,NA
"414","S01000414",2004,NA,NA,NA,NA,6278,NA,NA
"415","S01000415",2004,12,185,NA,NA,4120,NA,NA
"416","S01000416",2004,12,138,NA,NA,5246,NA,NA
"417","S01000417",2004,NA,NA,NA,NA,5639,NA,NA
"418","S01000418",2004,NA,NA,NA,NA,4461,NA,NA
"419","S01000419",2004,32,471,NA,NA,5492,NA,NA
"420","S01000420",2004,35,362,NA,NA,5837,NA,NA
"421","S01000421",2004,NA,NA,NA,NA,5134,NA,NA
"422","S01000422",2004,23,303,NA,NA,4837,NA,NA
"423","S01000423",2004,NA,NA,NA,NA,5871,NA,NA
"424","S01000424",2004,9,126,NA,NA,4782,NA,NA
"425","S01000425",2004,5,66,NA,NA,5223,NA,NA
"426","S01000426",2004,7,92,NA,NA,5337,NA,NA
"427","S01000427",2004,8,111,NA,NA,6176,NA,NA
"428","S01000428",2004,7,98,NA,NA,6359,NA,NA
"429","S01000429",2004,21,254,NA,NA,6386,NA,NA
"430","S01000430",2004,9,161,NA,NA,6016,NA,NA
"431","S01000431",2004,58,932,NA,NA,4868,NA,NA
"432","S01000432",2004,26,282,NA,NA,5955,NA,NA
"433","S01000433",2004,16,282,NA,NA,5335,NA,NA
"434","S01000434",2004,12,188,NA,NA,4098,NA,NA
"435","S01000435",2004,9,176,NA,NA,5744,NA,NA
"436","S01000436",2004,NA,NA,NA,NA,6163,NA,NA
"437","S01000437",2004,10,104,NA,NA,5306,NA,NA
"438","S01000438",2004,NA,NA,NA,NA,6426,NA,NA
"439","S01000439",2004,9,124,NA,NA,4164,NA,NA
"440","S01000440",2004,13,154,NA,NA,4561,NA,NA
"441","S01000441",2004,28,344,NA,NA,2998,NA,NA
"442","S01000442",2004,10,119,NA,NA,5422,NA,NA
"443","S01000443",2004,6,101,NA,NA,4579,NA,NA
"444","S01000444",2004,36,215,NA,NA,5077,NA,NA
"445","S01000445",2004,22,223,NA,NA,5096,NA,NA
"446","S01000446",2004,17,177,NA,NA,4356,NA,NA
"447","S01000447",2004,NA,NA,NA,NA,5221,NA,NA
"448","S01000448",2004,4,60,NA,NA,4570,NA,NA
"449","S01000449",2004,21,263,NA,NA,2963,NA,NA
"450","S01000450",2004,11,171,NA,NA,5664,NA,NA
"451","S01000451",2004,9,112,NA,NA,4681,NA,NA
"452","S01000452",2004,4,70,NA,NA,4571,NA,NA
"453","S01000453",2004,NA,NA,NA,NA,3862,NA,NA
